imp_fraction,perturb_param,level,factor,seed,pop,mean_sttc,pct_ictal,mean_rate,cv_rate
50p,C,0.0,1.0,12346,IMP,0.5721910313148141,65.125,126.10985000000001,0.6494616150561691
50p,C,0.0,1.0,12346,FS,0.52191907934461,65.375,107.07367500000001,0.6391534555058298
50p,tau_w,0.0,1.0,12346,IMP,0.5721910313148141,65.125,126.10985000000001,0.6494616150561691
50p,tau_w,0.0,1.0,12346,FS,0.52191907934461,65.375,107.07367500000001,0.6391534555058298
50p,p_conn,0.0,1.0,12346,IMP,0.5721910313148141,65.125,126.10985000000001,0.6494616150561691
50p,p_conn,0.0,1.0,12346,FS,0.52191907934461,65.375,107.07367500000001,0.6391534555058298
50p,C,0.1,1.1,12346,IMP,0.5588508635056563,65.00000000000003,123.81203125,0.6601561282973558
50p,C,0.1,1.1,12346,FS,0.5106478681991242,65.00000000000003,104.87001249999999,0.6510209951135104
50p,tau_w,0.1,1.1,12346,IMP,0.5773585091317358,62.374999999999986,122.97039375,0.6982163268844731
50p,tau_w,0.1,1.1,12346,FS,0.519410016664766,62.374999999999986,105.10573749999999,0.6880493379370408
50p,tau_w,-0.1,0.9,12345,IMP,0.5543838661672683,66.37500000000001,124.6337875,0.645508991949068
50p,tau_w,-0.1,0.9,12345,FS,0.49654185278308494,66.37500000000001,106.08491249999999,0.6365395475616492
50p,tau_w,-0.2,0.8,12345,IMP,0.5577596908682058,69.375,126.72210625000001,0.596585136599393
50p,tau_w,-0.2,0.8,12345,FS,0.5009445757694828,69.62499999999999,108.3236625,0.5875123872494011
50p,tau_w,0.1,1.1,12345,IMP,0.5712800571179009,62.125,122.81985,0.6978609861431749
50p,tau_w,0.1,1.1,12345,FS,0.4995793405700343,62.375000000000014,104.9332625,0.6868371988068003
50p,C,0.1,1.1,12345,IMP,0.5613035561845436,65.12499999999999,124.22994375,0.6590138631675395
50p,C,0.1,1.1,12345,FS,0.4952169895493456,65.375,105.3423875,0.6496988319589346
50p,C,0.2,1.2,12346,IMP,0.5465056554409512,61.875,119.38458750000001,0.6958003927309654
50p,C,0.2,1.2,12346,FS,0.4966219631701355,63.374999999999986,100.9351875,0.6855735960185491
50p,tau_w,-0.1,0.9,12346,IMP,0.5609966118777386,67.625,124.99796875,0.6338385041605268
50p,tau_w,-0.1,0.9,12346,FS,0.5195245012242509,67.625,106.17916249999999,0.6234382373695275
50p,C,-0.1,0.9,12346,IMP,0.5866011275820189,65.62499999999997,127.69055625000001,0.6444601532631843
50p,C,-0.1,0.9,12346,FS,0.5371898246362324,66.12499999999999,108.7165875,0.6352596660920672
50p,p_conn,-0.2,0.8,12346,IMP,0.5599541339514958,57.625000000000014,115.6562875,0.7645733414559975
50p,p_conn,-0.2,0.8,12346,FS,0.486835563131333,58.125000000000014,98.71046249999999,0.7506815782050462
50p,p_conn,-0.2,0.8,12345,IMP,0.5541134011815898,57.375,115.5014625,0.7632026323232136
50p,p_conn,-0.2,0.8,12345,FS,0.49330773560708485,58.125000000000014,98.522425,0.7480214042844942
50p,C,-0.2,0.8,12346,IMP,0.5866686373945079,66.12500000000001,127.7928125,0.6505374037121585
50p,C,-0.2,0.8,12346,FS,0.5419398300476349,66.625,109.12708750000002,0.6395701238800519
50p,C,0.2,1.2,12345,IMP,0.5440983281223645,62.125000000000014,119.488925,0.6920515667207595
50p,C,0.2,1.2,12345,FS,0.48067679945740877,63.625000000000014,101.16225,0.6817756972484336
50p,tau_w,0.2,1.2,12346,IMP,0.5835119397567189,63.875000000000014,125.997575,0.6924349305332327
50p,tau_w,0.2,1.2,12346,FS,0.5224733197427324,63.875000000000014,107.4127125,0.6832438969902364
50p,tau_w,0.2,1.2,12345,IMP,0.5799254211432004,63.625000000000014,125.39178749999999,0.6960253420985177
50p,tau_w,0.2,1.2,12345,FS,0.5031455754879653,63.625000000000014,106.9273,0.6867745394125194
50p,tau_w,-0.2,0.8,12346,IMP,0.5523253784214417,66.24999999999999,123.88946250000001,0.6278336194225972
50p,tau_w,-0.2,0.8,12346,FS,0.5165847508091846,66.5,105.6652125,0.6178564850732323
50p,p_conn,0.1,1.1,12346,IMP,0.5576603357832258,64.87499999999999,123.6933625,0.6595458789737919
50p,p_conn,0.1,1.1,12346,FS,0.5087855571480824,65.12499999999999,105.3579375,0.6498564506097723
50p,p_conn,-0.1,0.9,12346,IMP,0.5551713623162917,60.5,118.59334374999999,0.7235474357765486
50p,p_conn,-0.1,0.9,12346,FS,0.4942945323776618,60.75,100.83393749999999,0.7105423692445832
50p,p_conn,0.1,1.1,12345,IMP,0.5630848695187572,64.87500000000001,124.26973125,0.6552723818794621
50p,p_conn,0.1,1.1,12345,FS,0.5176083288004198,66.12500000000001,105.859,0.6450553173006488
50p,p_conn,-0.1,0.9,12345,IMP,0.5514089652853844,60.25,118.19075000000001,0.7278582152170868
50p,p_conn,-0.1,0.9,12345,FS,0.4962001275987528,60.25,100.6848875,0.7153807364497403
50p,p_conn,0.2,1.2,12345,IMP,0.5690292092805432,67.5,127.43234375,0.6164691733036703
50p,p_conn,0.2,1.2,12345,FS,0.522259711206243,69.0,108.7138875,0.6069384985363067
50p,C,-0.1,0.9,12345,IMP,0.5766470908487153,65.375,126.25458750000001,0.6582477386210978
50p,C,-0.1,0.9,12345,FS,0.5123702213776243,65.875,107.68758749999999,0.6486057514280299
50p,C,0.0,1.0,12347,IMP,0.551264023866247,62.62500000000002,120.67896874999998,0.691349077207669
50p,C,0.0,1.0,12347,FS,0.4970274602597361,62.62500000000002,102.49088749999999,0.6792432984539439
50p,tau_w,0.0,1.0,12347,IMP,0.551264023866247,62.62500000000002,120.67896874999998,0.691349077207669
50p,tau_w,0.0,1.0,12347,FS,0.4970274602597361,62.62500000000002,102.49088749999999,0.6792432984539439
50p,p_conn,0.0,1.0,12347,IMP,0.551264023866247,62.62500000000002,120.67896874999998,0.691349077207669
